date,crop,plant_id,treatment,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,soil_ph,soil_moisture_pct,soil_temperature_c,soil_ec_us_cm,solar_radiation_w_m2,air_temperature_c,relative_humidity_pct,flower_count,fruit_count,harvested_fruit_count,total_harvest_weight_source_unit,quality_flag
2023-11-09,Tomato,1,T26_N2P2K1,6.0,9.0,18.0,6.45,10.8,37.2,90.0,0.0,28.7,49.5,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,1,T26_N2P2K1,14.0,20.0,41.0,6.61,12.4,31.1,207.0,19.9,24.6,50.2,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,2,T6_N0P1K2,0.0,0.0,0.0,6.8,10.6,39.5,0.0,0.0,29.0,45.6,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-09,Tomato,5,T18_N1P2K2,3.0,4.0,9.0,6.66,9.5,41.0,45.0,67.6,30.7,41.0,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,10,T19_N2P0K0,0.0,0.0,0.0,7.0,8.4,42.4,0.0,69.5,29.8,43.1,0.0,0.0,0.0,0.0,zero_sensor_value
2023-11-09,Tomato,15,T13_N1P1K0,6.0,9.0,17.0,6.52,3.8,42.4,85.0,76.9,29.5,44.7,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,20,T5_N0P1K1,8.0,11.0,22.0,6.86,5.8,41.2,111.0,76.9,29.9,46.5,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,25,T8_N0P2K1,6.0,8.0,17.0,6.49,10.8,41.1,85.0,58.3,29.5,44.5,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,30,T2_N0P0K1,8.0,11.0,23.0,6.45,3.7,45.6,119.0,71.1,31.1,39.8,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,35,T24_N2P1K2,1.0,1.0,3.0,6.77,7.5,42.8,17.0,74.8,31.2,40.6,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,40,T10_N1P0K0,7.0,10.0,21.0,6.59,7.1,42.3,109.0,80.2,30.6,43.8,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,45,T22_N2P1K0,9.0,12.0,25.0,7.16,10.5,41.0,126.0,55.6,28.6,43.8,0.0,0.0,0.0,0.0,ok
2023-11-09,Tomato,50,T10_N1P0K0,5.0,8.0,16.0,6.87,15.6,39.3,81.0,58.0,28.3,43.1,0.0,0.0,0.0,0.0,ok
