battery,bioname,conductivity,createdAt,light,localname,moisture,temperature,timestamp,id
100,Solanum lycopersicum var. cerasiforme,1872,2024-04-30 00:03:10.022627+07:00,3821,Cherry Tomato,45,26.1,1714410192257,-Nwenrle3lKX8BFwz6gK
100,Solanum lycopersicum var. cerasiforme,1928,2024-04-30 00:08:15.070407+07:00,4121,Cherry Tomato,38,26.1,1714410495991,-Nwep0vikCOUS2QYz7wD
100,Solanum lycopersicum var. cerasiforme,1809,2024-04-30 00:13:18.068217+07:00,3521,Cherry Tomato,45,28.3,1714410798954,-NweqAt0vEjtJkpHKrPO
100,Solanum lycopersicum var. cerasiforme,1892,2024-04-30 00:18:22.099768+07:00,4221,Cherry Tomato,45,26.0,1714411103232,-NwerLAufRWOs9f9R60r
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 00:23:26.135149+07:00,4230,Cherry Tomato,48,26.5,1714411407162,-NwesVLahk6_Pcy3pDcF
100,Solanum lycopersicum var. cerasiforme,1923,2024-04-30 00:28:29.968158+07:00,4102,Cherry Tomato,46,25.7,1714411711017,-NweteZT3x7r11myaFC4
100,Solanum lycopersicum var. cerasiforme,1899,2024-04-30 00:33:33.026619+07:00,3896,Cherry Tomato,42,25.2,1714412013836,-NweuoV01HSG-ifJ-ekF
100,Solanum lycopersicum var. cerasiforme,1898,2024-04-30 00:38:36.015249+07:00,3600,Cherry Tomato,44,24.8,1714412317040,-NwevyWP0VCIP-mgGp6g
100,Solanum lycopersicum var. cerasiforme,1921,2024-04-30 00:43:39.011841+07:00,3502,Cherry Tomato,46,25.1,1714412619844,-Nwex7RsMmtnNAoSA0kZ
100,Solanum lycopersicum var. cerasiforme,1922,2024-04-30 00:48:42.046249+07:00,2643,Cherry Tomato,45,25.2,1714412922860,-NweyHQUE6OVNGrm_-rx
100,Solanum lycopersicum var. cerasiforme,1895,2024-04-30 00:53:48.024168+07:00,3212,Cherry Tomato,51,28.3,1714413228848,-NwezS7cm0rLxLIGwq4a
100,Solanum lycopersicum var. cerasiforme,1902,2024-04-30 00:58:50.958449+07:00,3212,Cherry Tomato,51,28.1,1714413531819,-Nwf-b5FzjaVbVgfjIUc
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 01:03:54.007200+07:00,3012,Cherry Tomato,51,28.3,1714413835070,-Nwf0l7wevm6EubH1Hrq
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 01:08:59.936617+07:00,3121,Cherry Tomato,49,28.3,1714414140787,-Nwf1vlaCPOEHmald4gp
100,Solanum lycopersicum var. cerasiforme,1872,2024-04-30 01:14:02.992159+07:00,2988,Cherry Tomato,50,28.3,1714414444062,-Nwf34oLdQipP59pFiaU
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 01:19:06.960647+07:00,1802,Cherry Tomato,51,28.3,1714414747976,-Nwf4F-v4V8-UDr-12zp
100,Solanum lycopersicum var. cerasiforme,1855,2024-04-30 01:24:09.940828+07:00,2098,Cherry Tomato,51,28.2,1714415050764,-Nwf5Ow3keTtKfKLblZm
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 01:29:12.991197+07:00,1971,Cherry Tomato,51,28.0,1714415354540,-Nwf6Z3KaKkyhp5tdLv1
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 01:34:17.074458+07:00,0,Cherry Tomato,39,28.0,1714415658379,-Nwf7iH2m_bCN9uk_uIK
100,Solanum lycopersicum var. cerasiforme,1880,2024-04-30 01:39:20.930266+07:00,0,Cherry Tomato,51,28.1,1714415961763,-Nwf8sLRh2lHa2LCr7eq
100,Solanum lycopersicum var. cerasiforme,1883,2024-04-30 01:44:24.076702+07:00,2201,Cherry Tomato,36,28.0,1714416264931,-NwfA1MbBVmXDbUovZr_
100,Solanum lycopersicum var. cerasiforme,1894,2024-04-30 01:49:27.037294+07:00,2210,Cherry Tomato,48,28.0,1714416567895,-NwfBBKEuIiVxY0ipYI1
100,Solanum lycopersicum var. cerasiforme,1872,2024-04-30 01:54:29.958263+07:00,1120,Cherry Tomato,49,28.0,1714416870805,-NwfCLHPh28ocJPJx40_
