Sample_ID,Plant_Health_Status,Health_Status_Code,SPR_Signal_Intensity,Colorimetric_Response,Fluorescence_Intensity,Leaf_Temperature_C,VOC_Level,Ambient_Temperature_C,Relative_Humidity_pct,pH,SPR_Signal_Variability,Sensor_Noise_Level
PHB_06253,Early Disease,1,0.6138,0.3453,0.7441,25.047,1.2194,25.076,66.048,6.312,0.0304,0.0526
PHB_04685,Severe Disease,3,0.323,0.7948,0.4797,27.07,1.4669,27.47,74.807,6.501,0.0584,0.0788
PHB_01732,Healthy,0,0.8325,0.1398,0.8444,24.612,1.0326,22.82,70.804,6.326,0.0091,0.051
PHB_04743,Severe Disease,3,0.3131,0.7002,0.4336,27.739,1.2899,23.752,62.819,6.375,0.0577,0.0675
PHB_04522,Early Disease,1,0.6827,0.3888,0.7959,26.117,0.9512,28.463,66.377,6.275,0.0337,0.0304
PHB_06341,Severe Disease,3,0.4285,0.6464,0.3958,27.118,1.4814,26.468,69.625,6.268,0.058,0.0722
PHB_00577,Severe Disease,3,0.305,0.6856,0.5287,26.908,1.3501,22.764,63.966,6.448,0.0458,0.0806
PHB_05203,Healthy,0,0.7469,0.0778,0.868,25.327,1.0442,26.675,75.916,6.478,0.0266,0.0327
PHB_06364,Healthy,0,0.7618,0.1113,0.8038,24.774,1.0281,24.826,52.375,6.627,0.0381,0.0368
PHB_00440,Moderate Illness,2,0.4761,0.3746,0.6201,26.023,1.2784,28.91,66.266,6.859,0.0489,0.0697
PHB_02751,Healthy,0,0.8375,0.1469,0.8916,25.11,1.0529,20.015,70.897,6.103,0.0168,0.014
PHB_07488,Healthy,0,0.8402,0.1945,0.7776,24.062,1.1523,29.996,67.548,6.564,0.0367,0.0317
PHB_05273,Severe Disease,3,0.2422,0.7752,0.424,27.226,1.5063,23.047,59.99,6.003,0.0458,0.0588
PHB_05654,Early Disease,1,0.6422,0.3654,0.8016,25.792,1.3064,24.875,61.466,6.302,0.0165,0.0565
PHB_04000,Healthy,0,0.9,0.2421,0.8349,24.841,1.2217,25.736,66.16,6.511,0.0134,0.0299
PHB_06034,Healthy,0,0.8284,0.1147,0.9477,23.86,1.017,22.324,76.504,6.167,0.0261,0.005
PHB_00583,Healthy,0,0.7189,0.0986,0.8104,24.577,1.0262,29.685,57.897,6.706,0.0262,0.0235
PHB_09931,Healthy,0,0.8028,0.0719,0.9305,23.893,0.9935,27.656,65.488,6.252,0.0454,0.023
PHB_07052,Healthy,0,0.91,0.1439,0.8738,25.03,0.9699,30.734,57.678,6.514,0.0206,0.0417
PHB_08159,Healthy,0,0.7832,0.1326,0.9554,24.069,1.1894,24.99,69.897,5.919,0.0355,0.0225
PHB_09897,Moderate Illness,2,0.4824,0.4831,0.5447,26.271,1.1378,25.94,60.693,6.489,0.0392,0.0625
PHB_02250,Early Disease,1,0.6348,0.2579,0.7203,26.369,1.1033,23.864,61.06,6.628,0.0306,0.0394
PHB_04641,Healthy,0,0.8103,0.153,0.8531,25.949,1.0178,25.366,61.455,6.307,0.023,0.0374
PHB_09486,Early Disease,1,0.6108,0.4548,0.6857,25.656,1.3273,22.198,71.44,6.378,0.0486,0.0701
PHB_04948,Severe Disease,3,0.3041,0.856,0.4382,27.437,1.2318,24.131,59.691,6.053,0.0866,0.0712
PHB_09921,Healthy,0,0.7518,0.1669,0.7763,23.916,1.061,26.637,76.032,6.757,0.016,0.0484
PHB_01964,Healthy,0,0.7961,0.2052,0.8592,24.045,1.1767,25.367,65.722,6.166,0.0208,0.0441
PHB_08244,Early Disease,1,0.7606,0.3684,0.7614,25.172,1.1774,23.919,72.078,6.037,0.0268,0.0528
PHB_06591,Early Disease,1,0.6925,0.2935,0.7874,25.24,1.084,20.535,65.093,6.104,0.0274,0.0447
PHB_08848,Moderate Illness,2,0.5813,0.6086,0.6709,26.777,1.5585,24.615,73.97,6.164,0.047,0.0726
PHB_00322,Early Disease,1,0.6068,0.3528,0.8422,24.98,1.1566,25.68,74.342,6.769,0.0434,0.0396
PHB_02679,Moderate Illness,2,0.7887,0.4589,0.6828,25.523,1.2588,27.075,56.412,6.302,0.0498,0.0688
PHB_04626,Moderate Illness,2,0.5173,0.5766,0.5585,27.087,1.3135,27.313,62.099,6.574,0.0347,0.0332
PHB_04950,Moderate Illness,2,0.5809,0.5397,0.5941,26.262,1.1853,28.133,54.67,6.361,0.0549,0.0466
PHB_08329,Severe Disease,3,0.3608,0.7118,0.4765,26.675,1.3816,22.707,64.108,6.126,0.0491,0.0729
PHB_03338,Severe Disease,3,0.3701,0.7459,0.3579,27.261,1.1579,25.826,64.852,5.971,0.0674,0.0454
PHB_05590,Moderate Illness,2,0.3893,0.6598,0.4787,26.768,1.3163,25.135,68.686,6.355,0.0473,0.0673
PHB_00252,Severe Disease,3,0.3386,0.7619,0.5174,27.688,1.449,28.329,51.368,6.425,0.0443,0.0649
PHB_03974,Healthy,0,0.8438,0.0866,0.8922,24.565,1.0711,25.413,75.856,6.014,0.0201,0.0307
PHB_06631,Moderate Illness,2,0.4572,0.5504,0.6923,26.539,1.2085,24.035,63.145,6.787,0.0421,0.0637
PHB_05548,Moderate Illness,2,0.4957,0.4391,0.6161,26.524,1.1493,26.663,61.234,6.371,0.0699,0.034
PHB_00036,Healthy,0,0.8594,0.1376,0.9226,24.944,1.1148,28.16,68.37,6.467,0.0225,0.0343
PHB_08363,Early Disease,1,0.6132,0.3473,0.6642,23.151,1.1363,27.387,69.254,6.399,0.0163,0.0374
PHB_01514,Moderate Illness,2,0.4916,0.4485,0.6062,27.156,1.2091,30.303,59.601,6.383,0.0694,0.0526
PHB_09318,Early Disease,1,0.7296,0.2908,0.745,24.552,1.257,27.208,77.818,6.213,0.039,0.0306
PHB_00040,Moderate Illness,2,0.5342,0.4947,0.6052,27.269,1.2075,25.862,71.528,6.677,0.0404,0.0694
